word,count
watching,239
trying,235
touching,225
touches,222
attention,207
arm,206
talking,204
friend,203
sitting,154
person,146
hand,135
tv,112
rubbing,111
wants,104
child,97
shoulder,93
partner,88
movie,87
tapping,78
forearm,77
gently,76
feel,73
finger,73
comfort,69
playing,67
comforting,66
relaxing,62
chilling,61
like,58
conversation,57
sad,57
time,57
way,57
doctor,55
day,54
asking,52
couch,51
waiting,50
work,50
family,49
telling,48
bed,47
patting,46
colleague,45
news,45
poking,44
bad,43
feeling,41
leg,41
need,40
stranger,39
face,38
home,37
talk,37
getting,35
situation,35
starts,34
sofa,33
cuddling,32
happened,32
mother,32
going,31
life,31
caressing,29
upset,29
video,29
working,29
ask,28
member,28
table,28
girlfriend,27
head,27
looking,26
skin,26
tries,26
comes,25
pain,25
romantic,25
checking,24
could,24
lying,24
rubs,24
stroking,24
maybe,23
asleep,22
emotional,22
massage,22
phone,22
pressure,22
problems,22
affection,21
calm,21
drinking,21
husband,21
showing,21
therapist,21
dinner,20
know,20
outside,20
people,20
annoy,19
good,19
mom,19
sharing,19
close,18
giving,18
left,18
repeatedly,18
television,18
area,17
caresses,17
grab,17
moment,17
play,17
probably,17
question,17
reassuring,17
room,17
sister,17
taps,17
things,17
bored,16
class,16
hurt,16
kid,16
long,16
pats,16
son,16
watch,16
would,16
annoying,15
catch,15
check,15
hanging,15
looks,15
received,15
tell,15
told,15
body,14
came,14
consoling,14
difficult,14
meeting,14
neck,14
nice,14
playful,14
boyfriend,13
calming,13
distracted,13
fun,13
game,13
hugging,13
lightly,13
listening,13
lost,13
music,13
nervous,13
sit,13
stressed,13
strokes,13
went,13
brother,12
chest,12
coffee,12
cream,12
currently,12
exam,12
love,12
lunch,12
nephew,12
softly,12
test,12
wake,12
bus,11
cheer,11
coworker,11
date,11
food,11
help,11
issues,11
light,11
lower,11
massaging,11
physical,11
sleeping,11
speaking,11
spending,11
standing,11
street,11
testing,11
warm,11
wife,11
wrist,11
affectionate,10
care,10
discussing,10
evening,10
event,10
examining,10
father,10
hair,10
happening,10
intimate,10
kitchen,10
manner,10
nurse,10
order,10
point,10
right,10
sexual,10
therapy,10
upper,10
visiting,10
bench,9
better,9
casual,9
computer,9
console,9
daughter,9
drinks,9
enjoying,9
fell,9
focusing,9
hear,9
holding,9
important,9
jestem,9
leaving,9
morning,9
relaxed,9
slowly,9
suddenly,9
away,8
book,8
break,8
busy,8
decide,8
deep,8
eating,8
eyes,8
felt,8
find,8
got,8
hard,8
headphones,8
helping,8
joke,8
parents,8
place,8
ready,8
saying,8
spot,8
stressful,8
task,8
thigh,8
uncomfortable,8
walk,8
whilst,8
anxiety,7
appointment,7
blood,7
car,7
chat,7
classmate,7
cousin,7
cuddle,7
desk,7
draw,7
examination,7
favorite,7
film,7
finished,7
grandma,7
hugs,7
interest,7
laughing,7
line,7
might,7
muscle,7
normal,7
not_attention,7
old,7
pass,7
pleasant,7
professional,7
project,7
relative,7
rest,7
rubbed,7
seat,7
seated,7
session,7
small,7
soft,7
sore,7
support,7
teacher,7
tickling,7
tough,7
wanted,7
aggressively,6
anxious,6
arousing,6
belly,6
best,6
bothering,6
co,6
contact,6
describing,6
discuss,6
ease,6
end,6
examines,6
excited,6
flirting,6
goodbye,6
group,6
happy,6
health,6
hospital,6
house,6
index,6
intercourse,6
job,6
laugh,6
lecture,6
lesson,6
lot,6
lounge,6
messing,6
mnie,6
new,6
nose,6
office,6
palm,6
park,6
pets,6
poked,6
random,6
recent,6
results,6
rough,6
school,6
seen,6
sensation,6
sense,6
series,6
singing,6
somebody,6
started,6
stomach,6
story,6
stuff,6
thinking,6
touchy,6
treatment,6
tree,6
weird,6
acquaintance,5
asked,5
baby,5
boss,5
braccio,5
breaking,5
brushing,5
ca,5
cafe,5
cartoons,5
cause,5
clean,5
client,5
concern,5
depressed,5
engaging,5
explaining,5
failed,5
form,5
found,5
gesture,5
grandmother,5
grandparent,5
interacting,5
knee,5
