group_key,word,count,total_group_count,is_main,variation_rank
watching,watching,224,227,True,1
watching,whatching,1,227,False,2
watching,wathcing,1,227,False,3
watching,wathing,1,227,False,4
touching,touching,223,225,True,1
touching,touuching,1,225,False,2
touching,tuching,1,225,False,3
trying,trying,210,213,True,1
trying,triyng,1,213,False,2
trying,tryng,1,213,False,3
trying,tying,1,213,False,4
attention,attention,206,207,True,1
attention,attencion,1,207,False,2
arm,arm,201,206,True,1
arm,arms,5,206,False,2
touch,touch,104,203,True,1
touch,touch,91,203,False,2
touch,touchy,4,203,False,3
touch,tousch,2,203,False,4
touch,touchs,1,203,False,5
touch,tuch,1,203,False,6
friend,friend,174,198,True,1
friend,friends,23,198,False,2
friend,frienfd,1,198,False,3
talking,talking,164,166,True,1
talking,talkin,1,166,False,2
talking,taliking,1,166,False,3
sitting,sitting,149,151,True,1
sitting,siting,1,151,False,2
sitting,seeting,1,151,False,3
person,person,125,146,True,1
person,personal,14,146,False,2
person,persons,4,146,False,3
person,persona,2,146,False,4
person,peron,1,146,False,5
hand,hand,123,135,True,1
hand,hands,12,135,False,2
tv,tv,112,112,True,1
wants,wants,85,110,True,1
wants,want,19,110,False,2
wants,wanting,6,110,False,3
rubbing,rubbing,105,108,True,1
rubbing,rubing,3,108,False,2
child,child,94,97,True,1
child,children,2,97,False,2
child,chid,1,97,False,3
shoulder,shoulder,85,93,True,1
shoulder,shoulders,7,93,False,2
shoulder,shouder,1,93,False,3
partner,partner,84,88,True,1
partner,partners,1,88,False,2
partner,partener,1,88,False,3
partner,partnet,1,88,False,4
partner,parter,1,88,False,5
movie,movie,87,87,True,1
forearm,forearm,76,77,True,1
forearm,forarm,1,77,False,2
finger,finger,66,73,True,1
finger,fingers,5,73,False,2
finger,finnger,1,73,False,3
finger,fingure,1,73,False,4
feel,feel,63,73,True,1
feel,feels,10,73,False,2
tapping,tapping,70,72,True,1
tapping,taping,1,72,False,2
tapping,tapiing,1,72,False,3
comfort,comfort,51,69,True,1
comfort,comforted,8,69,False,2
comfort,confort,5,69,False,3
comfort,comforts,4,69,False,4
comfort,conforts,1,69,False,5
comforting,comforting,64,66,True,1
comforting,conforting,2,66,False,2
like,like,54,58,True,1
like,likes,4,58,False,2
gently,gently,56,57,True,1
gently,geantly,1,57,False,2
time,time,40,57,True,1
time,times,17,57,False,2
way,way,56,57,True,1
way,ways,1,57,False,2
conversation,conversation,57,57,True,1
sad,sad,57,57,True,1
doctor,doctor,52,55,True,1
doctor,doctors,2,55,False,2
doctor,doctot,1,55,False,3
day,day,50,54,True,1
day,days,4,54,False,2
couch,couch,51,51,True,1
mother,mother,30,50,True,1
mother,mom,19,50,False,2
mother,mohter,1,50,False,3
work,work,50,50,True,1
ask,ask,28,50,True,1
ask,asking,22,50,False,2
family,family,48,49,True,1
family,familly,1,49,False,2
relaxing,relaxing,49,49,True,1
bed,bed,47,47,True,1
telling,telling,47,47,True,1
,,6,46,True,1
,nt,5,46,False,2
,ca,5,46,False,3
,mi,4,46,False,4
,co,4,46,False,5
,la,4,46,False,6
,na,3,46,False,7
,con,2,46,False,8
,en,1,46,False,9
,al,1,46,False,10
,rk,1,46,False,11
,arw,1,46,False,12
,mu,1,46,False,13
,aqm,1,46,False,14
,kto,1,46,False,15
,po,1,46,False,16
,ahe,1,46,False,17
,tp,1,46,False,18
,ss,1,46,False,19
,trough,1,46,False,20
,un,1,46,False,21
news,news,45,45,True,1
chilling,chilling,44,45,True,1
chilling,chillung,1,45,False,2
colleague,colleague,40,44,True,1
colleague,collegue,2,44,False,2
colleague,colleagues,1,44,False,3
colleague,colleaue,1,44,False,4
playing,playing,43,43,True,1
bad,bad,43,43,True,1
waiting,waiting,42,43,True,1
waiting,wating,1,43,False,2
feeling,feeling,39,41,True,1
feeling,feelings,2,41,False,2
leg,leg,39,41,True,1
leg,legs,2,41,False,2
need,need,25,40,True,1
need,needs,15,40,False,2
stranger,stranger,36,39,True,1
stranger,strange,3,39,False,2
face,face,38,38,True,1
talk,talk,36,37,True,1
talk,talks,1,37,False,2
home,home,37,37,True,1
poking,poking,35,36,True,1
poking,pocking,1,36,False,2
situation,situation,33,34,True,1
situation,situational,1,34,False,2
caress,caress,16,34,True,1
caress,caresses,12,34,False,2
caress,caress,3,34,False,3
caress,caressed,1,34,False,4
caress,carecing,1,34,False,5
caress,caresing,1,34,False,6
upset,upset,29,33,True,1
upset,upsetting,4,33,False,2
sofa,sofa,33,33,True,1
starts,starts,26,33,True,1
starts,start,7,33,False,2
cuddling,cuddling,31,32,True,1
cuddling,coudling,1,32,False,2
happened,happened,26,32,True,1
happened,happens,4,32,False,2
happened,happen,1,32,False,3
happened,happend,1,32,False,4
going,going,31,31,True,1
life,life,27,31,True,1
life,lives,3,31,False,2
life,lifes,1,31,False,3
walk,walk,21,29,True,1
walk,walk,5,29,False,2
walk,walks,3,29,False,3
video,video,25,29,True,1
video,videos,4,29,False,2
member,member,27,28,True,1
member,members,1,28,False,2
getting,getting,28,28,True,1
table,table,27,28,True,1
table,tables,1,28,False,2
working,working,28,28,True,1
chat,chat,21,28,True,1
chat,chat,7,28,False,2
girlfriend,girlfriend,26,27,True,1
girlfriend,girlfirend,1,27,False,2
skin,skin,26,26,True,1
patting,patting,22,26,True,1
patting,petting,4,26,False,2
try,try,14,26,True,1
try,try,12,26,False,2
touched,touched,24,26,True,1
touched,toutches,1,26,False,2
touched,touhches,1,26,False,3
romantic,romantic,25,25,True,1
comes,comes,21,25,True,1
comes,come,4,25,False,2
lying,lying,24,24,True,1
pain,pain,24,24,True,1
checking,checking,24,24,True,1
rub,rub,15,24,True,1
rub,rub,9,24,False,2
maybe,maybe,23,23,True,1
head,head,23,23,True,1
sleep,sleep,15,23,True,1
sleep,sleep,7,23,False,2
sleep,spleed,1,23,False,3
catch,catch,15,22,True,1
catch,catching,7,22,False,2
phone,phone,20,22,True,1
phone,phones,2,22,False,2
problems,problems,16,22,True,1
problems,problem,6,22,False,2
emotional,emotional,18,22,True,1
emotional,emotionally,2,22,False,2
emotional,emotions,2,22,False,3
cry,cry,21,22,True,1
cry,cry,1,22,False,2
calm,calm,20,22,True,1
calm,calms,1,22,False,2
calm,calmer,1,22,False,3
massage,massage,17,22,True,1
massage,massages,3,22,False,2
massage,massaged,2,22,False,3
affection,affection,21,21,True,1
making,making,21,21,True,1
reassured,reassured,14,21,True,1
reassured,reassure,4,21,False,2
reassured,reassured,2,21,False,3
reassured,re_assuring,1,21,False,4
husband,husband,20,21,True,1
husband,housband,1,21,False,2
therapist,therapist,21,21,True,1
stroking,stroking,21,21,True,1
know,know,19,20,True,1
know,knows,1,20,False,2
people,people,20,20,True,1
wake,wake,9,20,True,1
wake,waking,8,20,False,2
wake,awake,2,20,False,3
wake,wakes,1,20,False,4
outside,outside,20,20,True,1
good,good,19,19,True,1
dinner,dinner,19,19,True,1
take,take,17,19,True,1
take,takes,2,19,False,2
annoy,annoy,19,19,True,1
gentle,gentle,19,19,True,1
close,close,14,18,True,1
close,closer,2,18,False,2
close,closed,2,18,False,3
repeatedly,repeatedly,15,18,True,1
repeatedly,repeated,3,18,False,2
television,television,18,18,True,1
left,left,18,18,True,1
pressure,pressure,17,18,True,1
pressure,presure,1,18,False,2
sister,sister,16,17,True,1
sister,sisters,1,17,False,2
room,room,17,17,True,1
probably,probably,17,17,True,1
question,question,14,17,True,1
question,questions,3,17,False,2
area,area,15,17,True,1
area,areas,2,17,False,2
grab,grab,14,17,True,1
grab,grabs,3,17,False,2
play,play,15,17,True,1
play,plays,2,17,False,2
taps,taps,12,17,True,1
taps,tap,5,17,False,2
pats,pats,12,16,True,1
pats,pat,4,16,False,2
laying,laying,16,16,True,1
would,would,16,16,True,1
watch,watch,15,16,True,1
watch,watches,1,16,False,2
class,class,16,16,True,1
bored,bored,16,16,True,1
son,son,16,16,True,1
hurt,hurt,11,16,True,1
hurt,hurts,5,16,False,2
calling,calling,16,16,True,1
kid,kid,10,16,True,1
kid,kids,6,16,False,2
long,long,16,16,True,1
told,told,15,15,True,1
check,check,13,15,True,1
check,checks,2,15,False,2
looking,looking,15,15,True,1
share,share,11,15,True,1
share,shared,4,15,False,2
tell,tell,13,15,True,1
tell,tells,2,15,False,2
annoying,annoying,14,15,True,1
annoying,annoyingly,1,15,False,2
looks,looks,8,15,True,1
looks,look,7,15,False,2
moment,moment,14,15,True,1
moment,momment,1,15,False,2
consoling,consoling,14,14,True,1
neck,neck,14,14,True,1
came,came,13,14,True,1
came,cames,1,14,False,2
playful,playful,9,14,True,1
playful,playfully,5,14,False,2
received,received,11,14,True,1
received,receive,3,14,False,2
body,body,14,14,True,1
giving,giving,14,14,True,1
difficult,difficult,12,14,True,1
difficult,difficulty,2,14,False,2
things,things,11,14,True,1
things,thing,3,14,False,2
game,game,8,13,True,1
game,games,5,13,False,2
strokes,strokes,8,13,True,1
strokes,stroke,3,13,False,2
strokes,stroked,2,13,False,3
lost,lost,13,13,True,1
fun,fun,13,13,True,1
listening,listening,13,13,True,1
hear,hear,6,13,True,1
hear,hearing,4,13,False,2
hear,heard,3,13,False,3
lightly,lightly,13,13,True,1
nervous,nervous,10,13,True,1
nervous,nervious,1,13,False,2
nervous,nervously,1,13,False,3
nervous,nerveous,1,13,False,4
boyfriend,boyfriend,12,13,True,1
boyfriend,byofriend,1,13,False,2
showing,showing,13,13,True,1
reading,reading,13,13,True,1
sit,sit,13,13,True,1
music,music,13,13,True,1
could,could,13,13,True,1
hugging,hugging,13,13,True,1
distracted,distracted,11,13,True,1
distracted,distract,1,13,False,2
distracted,distractly,1,13,False,3
went,went,13,13,True,1
calming,calming,11,12,True,1
calming,calmimg,1,12,False,2
love,love,6,12,True,1
love,loved,5,12,False,2
love,loves,1,12,False,3
exam,exam,10,12,True,1
exam,exams,2,12,False,2
chest,chest,12,12,True,1
test,test,8,12,True,1
test,tests,4,12,False,2
pass,pass,7,12,True,1
pass,passing,5,12,False,2
meeting,meeting,12,12,True,1
currently,currently,9,12,True,1
currently,current,3,12,False,2
lunch,lunch,12,12,True,1
cream,cream,12,12,True,1
softly,softly,12,12,True,1
nephew,nephew,12,12,True,1
coffee,coffee,11,12,True,1
coffee,cofee,1,12,False,2
stress,stress,8,11,True,1
stress,stress,3,11,False,2
food,food,11,11,True,1
coworker,coworker,6,11,True,1
coworker,coworkers,3,11,False,2
coworker,co_worker,1,11,False,3
coworker,worker,1,11,False,4
date,date,10,11,True,1
date,dates,1,11,False,2
street,street,11,11,True,1
massaging,massaging,11,11,True,1
help,help,10,11,True,1
help,helps,1,11,False,2
warm,warm,11,11,True,1
jokingly,jokingly,8,11,True,1
jokingly,jokingly,3,11,False,2
wife,wife,11,11,True,1
physical,physical,11,11,True,1
cold,cold,11,11,True,1
