word,count
arm,1019
feel,967
home,961
touch,877
friend,851
attention,741
rubbing,692
gentle,609
hand,563
warm,528
partner,525
soft,524
comforting,498
comfortable,479
love,469
trying,469
tapping,418
shoulder,417
calming,415
comfort,407
affection,381
romantic,378
wants,361
touching,352
person,344
calm,322
stroking,321
annoying,318
pleasant,302
forearm,296
patting,295
watching,291
smooth,273
pressing,267
family,260
sitting,259
light,244
like,238
poking,234
talking,230
relaxing,223
member,220
child,214
room,212
calmness,204
soothing,203
loving,200
office,200
work,184
delicate,183
sofa,183
way,182
empathy,175
leg,173
house,172
doctor,171
fast,170
would,168
intention,166
intense,162
makes,159
colleague,156
consistent,156
reassuring,154
annoyed,151
bonding,146
rhythmic,145
stranger,145
bedroom,141
connection,140
tender,140
feeling,139
cared,137
persistent,137
slow,135
tense,133
upper,133
firm,132
intimate,132
adoration,131
cold,130
bed,129
happy,128
safe,127
tv,126
enjoyable,124
girlfriend,124
irritating,121
aggressive,119
tickling,118
trust,118
sensual,115
curious,114
know,114
maybe,113
playing,113
time,112
surprised,111
thigh,111
embracing,110
making,109
relaxed,109
good,108
head,108
friction,107
pressure,106
couch,104
husband,103
close,102
arousing,101
better,100
purposeful,100
showing,100
face,99
alarming,98
mother,98
finger,94
movie,92
discomfort,91
stress,91
compassion,90
need,90
noticeable,89
support,88
sweeping,87
sad,86
getting,85
public,85
relief,84
ask,83
nervous,83
situation,83
curiosity,82
boyfriend,79
confident,79
kitchen,79
meaningful,79
playful,77
caring,76
happiness,75
nice,75
skin,75
therapist,75
help,74
rough,74
belonging,73
distracting,73
hard,73
repetitive,73
street,73
pain,72
affectionate,71
irritable,71
localized,71
outside,71
annoy,70
conversation,70
important,70
professional,70
sexy,70
waiting,70
video,69
neck,68
try,68
chilling,67
day,67
focused,66
grab,66
physical,66
peacefulness,65
probably,65
demanding,64
pointy,63
unsettling,63
area,62
emotional,62
place,62
creepy,61
restaurant,61
sister,61
table,60
bad,59
connected,59
erotic,59
going,59
irritated,59
pushing,59
hugging,58
purpose,58
romance,58
touched,58
acquaintance,57
clean,57
joy,57
upset,57
tell,56
lower,55
telling,54
caress,53
happened,53
invasive,53
weird,53
class,52
fluttering,51
impatience,51
massage,51
talk,51
wrist,51
cafe,50
left,50
melting,50
vulnerable,50
wonder,50
chest,49
excitement,49
people,49
rub,49
school,49
check,48
feathery,48
wake,48
wanted,48
contact,47
mom,47
news,47
think,47
wife,47
agitation,46
compressing,46
hair,46
holding,46
looks,46
starts,46
uplifting,46
desire,45
giving,45
indifferent,45
parents,45
exciting,44
horny,44
mechanical,44
moment,44
park,44
provocative,44
amusement,43
aroused,43
distressing,43
hospital,43
play,43
relieved,43
let,42
shop,42
understand,42
blissful,41
body,41
caf,41
irregular,41
worry,41
catch,40
hot,40
long,40
solid,40
brother,39
reaction,39
angry,38
comes,38
dragging,38
drinking,38
ease,38
problems,38
reassured,38
sexual,38
sweet,38
abrasive,37
belly,37
craving,37
distracted,37
fun,37
life,37
neutral,37
shaking,37
content,36
dinner,36
frustration,36
looking,36
things,36
tough,36
working,36
anger,35
checking,35
chilly,35
console,35
cuddling,35
dry,35
frustrated,35
lively,35
right,35
sense,35
confusion,34
scratching,34
suspicious,34
asleep,33
bar,33
bored,33
confused,33
needed,33
okay,33
pats,33
question,33
repeatedly,33
softly,33
anxious,32
car,32
coffee,32
funny,32
hurt,32
relax,32
son,32
describe,31
excited,31
lightly,31
listening,31
awkward,30
possibly,30
vibrating,30
gesture,29
grandmother,29
lying,29
nature,29
painful,29
reassurance,29
agitated,28
amused,28
closeness,28
consoling,28
delighted,28
gratitude,28
normal,28
pay,28
phone,28
seen,28
teasing,28
bus,27
interested,27
ok,27
order,27
stop,27
strokes,27
appreciated,26
best,26
cheer,26
motion,26
saying,26
transportation,26
bumpy,25
compliant,25
concern,25
coworker,25
daughter,25
lounge,25
may,25
quick,25
rigid,25
small,25
stinging,25
taps,25
test,25
vivid,25
alert,24
boredom,24
cheek,24
difficult,24
itchy,24
nostalgia,24
not_know,24
received,24
secure,24
thrilled,24
vague,24
contentment,23
disgust,23
encourage,23
focus,23
genital,23
hear,23
helping,23
inappropriate,23
manner,23
squeezing,23
desk,22
draw,22
express,22
find,22
intriguing,22
kid,22
massaging,22
medical,22
nurse,22
provide,22
scratchy,22
sensation,22
sure,22
ticklish,22
unsafe,22
violated,22
cuddle,21
distressed,21
fiance,21
game,21
muscle,21
noticed,21
pleasure,21
relative,21
university,21
attentive,20
bring,20
desirable,20
fluid,20
happening,20
heavenly,20
icky,20
lost,20
peaceful,20
proud,20
spending,20
store,20
velvety,20
watch,20
cause,19
cute,19
discussing,19
event,19
fine,19
joke,19
lot,19
nephew,19
overwhelmed,19
palm,19
party,19
sadness,19
shock,19
significant,19
supportive,19
sweaty,19
television,19
away,18
busy,18
buzzing,18
cleaning,18
currently,18
defensiveness,18
felt,18
fragile,18
grandma,18
knee,18
mood,18
positive,18
presence,18
said,18
sit,18
social,18
stomach,18
told,18
weak,18
worried,18
bench,17
calmer,17
came,17
familiar,17
hanging,17
hug,17
impacting,17
necessary,17
particular,17
started,17
submissive,17
tentative,17
unsure,17
careful,16
client,16
clinic,16
date,16
dense,16
determined,16
dominating,16
fleshy,16
got,16
mum,16
not_attention,16
nt,16
old,16
private,16
shows,16
sign,16
stabbing,16
subtle,16
suddenly,16
tension,16
therapy,16
usually,16
alright,15
anxiety,15
burning,15
computer,15
conflicted,15
deep,15
embarrassed,15
flirting,15
form,15
grateful,15
intent,15
language,15
listen,15
mnie,15
not_feel,15
pass,15
peace,15
poke,15
relationship,15
rka,15
sibling,15
simply,15
slowly,15
standing,15
teacher,15
tenderness,15
textured,15
walk,15
aware,14
break,14
classroom,14
fell,14
flat,14
gathering,14
gives,14
guess,14
imagine,14
insecurity,14
intimacy,14
lunch,14
might,14
music,14
nasty,14
not_alone,14
sensitive,14
sharp,14
shocked,14
shown,14
tickle,14
treatment,14
understanding,14
went,14
whilst,14
admired,13
baby,13
certain,13
cousin,13
cream,13
encouraging,13
enjoying,13
exam,13
examination,13
examining,13
fear,13
female,13
food,13
intimidating,13
issues,13
job,13
meant,13
numb,13
ready,13
results,13
shared,13
short,13
similar,13
somebody,13
transport,13
un,13
warmth,13
adjectives,12
apartment,12
attract,12
blood,12
ca,12
change,12
cheering,12
domu,12
drinks,12
eating,12
embarrassment,12
evening,12
foot,12
get,12
grandparent,12
laugh,12
mi,12
na,12
near,12
offended,12
protected,12
providing,12
pub,12
reminds,12
response,12
space,12
special,12
spot,12
task,12
thinking,12
turn,12
verbs,12
welcome,12
arousal,11
attention_grabbing,11
bond,11
bothered,11
bothering,11
classmate,11
condition,11
definitely,11
depends,11
diagnosis,11
distant,11
disturbing,11
embrace,11
empathetic,11
emphasize,11
end,11
environment,11
examine,11
finished,11
gain,11
garden,11
girl,11
headphones,11
health,11
missed,11
nerves,11
new,11
nose,11
not_I,11
not_touch,11
project,11
specific,11
spouse,11
story,11
stressful,11
unexpected,11
vein,11
visiting,11
wrong,11
adored,10
coercive,10
con,10
cool,10
deliberately,10
encouragement,10
enjoy,10
focusing,10
hairdresser,10
helpful,10
inside,10
intrigued,10
intrusive,10
kinda,10
line,10
lukewarm,10
morning,10
no_idea,10
physiotherapist,10
polite,10
pride,10
random,10
reason,10
relieving,10
rest,10
robust,10
rubbery,10
scary,10
session,10
sex,10
shy,10
study,10
taken,10
thought,10
tingly,10
type,10
urgent,10
words,10
year,10
affect,9
appointment,9
asked,9
aunt,9
beach,9
book,9
characteristics,9
create,9
decide,9
depressed,9
eye,9
favorite,9
finding,9
firmly,9
flirt,9
forehead,9
forth,9
friendship,9
given,9
group,9
hesitant,9
interesting,9
jestem,9
la,9
late,9
lecture,9
moist,9
not_hear,9
not_pleasant,9
not_sure,9
outdoors,9
period,9
queue,9
rapid,9
reduce,9
seated,9
supposed,9
tired,9
use,9
woken,9
younger,9
accepted,8
acknowledged,8
actually,8
alerting,8
answer,8
bones,8
buy,8
casual,8
cinema,8
co,8
disturbed,8
doubt,8
dropped,8
en,8
encounter,8
energy,8
engaging,8
exactly,8
explaining,8
failed,8
force,8
general,8
grabing,8
guilty,8
humiliation,8
information,8
injury,8
instructor,8
interact,8
intercourse,8
inviting,8
laughing,8
leave,8
level,8
male,8
man,8
means,8
mildly,8
negative,8
not_close,8
pet,8
que,8
remove,8
rubbed,8
sat,8
seat,8
silly,8
speak,8
stimulating,8
surgery,8
surprising,8
tip,8
train,8
unpleasent,8
vigorous,8
young,8
acceptable,7
applied,7
applying,7
appreciation,7
assure,7
attempting,7
barely,7
behavior,7
boy,7
braccio,7
breaking,7
chat,7
coarse,7
company,7
compassionate,7
concentrated,7
consequential,7
consider,7
consolation,7
continue,7
continuously,7
convince,7
demonstrate,7
despair,7
dirty,7
dominant,7
drive,7
entering,7
etc,7
experience,7
experiencing,7
film,7
free,7
goes,7
grocery,7
harmless,7
immediately,7
indicate,7
innocent,7
insistently,7
interrupted,7
jokingly,7
keeps,7
knowing,7
lesson,7
mad,7
masseur,7
mobile,7
night,7
no_intention,7
not_emotion,7
older,7
open,7
opinion,7
past,7
perform,7
placid,7
playground,7
practice,7
prickly,7
protective,7
provoke,7
pushy,7
relaxation,7
required,7
running,7
shift,7
sick,7
smile,7
snacks,7
sticky,7
supermarket,7
tea,7
thankful,7
therapeutic,7
tortuous,7
tree,7
unconfortable,7
wiggly,7
without_I,7
alerted,6
amazing,6
andor,6
assertive,6
attack,6
brazo,6
calmly,6
casa,6
cases,6
cherished,6
communicate,6
convey,6
cozy,6
crush,6
describing,6
direction,6
discuss,6
dread,6
eat,6
engage,6
entertained,6
expect,6
expression,6
facing,6
fare,6
fastidio,6
flexible,6
forward,6
found,6
goodbye,6
great,6
ground,6
harsh,6
hit,6
hopeful,6
horror,6
hurting,6
index,6
initiating,6
livingroom,6
lovable,6
luscious,6
matter,6
mechaniczny,6
mental,6
mind,6
movements,6
no_feeling,6
not_comfortable,6
not_face,6
not_okay,6
pinching,6
pobudzenie,6
pocieszy,6
preparing,6
product,6
pulse,6
quickly,6
reaches,6
receiving,6
recent,6
roommate,6
salon,6
scare,6
sees,6
self,6
series,6
shame,6
socializing,6
sounds,6
stiff,6
strenght,6
stuff,6
suave,6
supple,6
talked,6
technique,6
travelling,6
trembling,6
una,6
uneven,6
unnatural,6
validated,6
valued,6
visit,6
wait,6
wet,6
woman,6
accompanied,5
activity,5
admiring,5
advice,5
affective,5
afternoon,5
agree,5
alarmed,5
alive,5
amor,5
annoyance,5
approaches,5
attraction,5
awaken,5
awareness,5
belong,5
boss,5
broke,5
burn,5
calf,5
called,5
cartoons,5
causing,5
center,5
checked,5
clear,5
coming,5
confianza,5
control,5
cosy,5
dad,5
defensive,5
especially,5
exact,5
experiment,5
explain,5
field,5
flirtatious,5
floor,5
forceful,5
frightened,5
future,5
glad,5
goosebumps,5
greets,5
half,5
happier,5
healer,5
heavy,5
hope,5
human,5
hurry,5
ice,5
il,5
impersonal,5
inform,5
inquisitive,5
irony,5
isolation,5
lack,5
library,5
lie,5
looked,5
loss,5
medico,5
mia,5
motivate,5
nap,5
no_purpose,5
not_aware,5
not_find,5
not_good,5
not_hurtful,5
not_want,5
occur,5
odd,5
ordering,5
overall,5
passed,5
picnic,5
pointing,5
prepared,5
presionar,5
preste,5
pure,5
quality,5
quiet,5
react,5
reka,5
resentment,5
rytmiczne,5
safety,5
sarcastic,5
scenario,5
seconds,5
signal,5
silence,5
soothed,5
spa,5
stand,5
starting,5
steady,5
studio,5
suggestive,5
topics,5
uneasy,5
warn,5
warning,5
weirded,5
workplace,5
accident,4
adults,4
afraid,4
apply,4
arrive,4
assist,4
avoid,4
ball,4
barriers,4
beauty,4
beer,4
begin,4
big,4
bothersome,4
bringing,4
brushed,4
budzony,4
building,4
calmante,4
check_up,4
city,4
compressed,4
comprimere,4
conforted,4
congratulate,4
conscious,4
consensual,4
conveying,4
correct,4
couple,4
dark,4
de,4
dealing,4
deeper,4
delikatny,4
disappointed,4
discouragement,4
drag,4
dziecko,4
earlier,4
embarrassing,4
evoke,4
ex,4
exit,4
expecting,4
fact,4
fallen,4
familiarity,4
felicidad,4
follow,4
freindly,4
friendliness,4
funeral,4
gaskanie,4
gelatinous,4
gentleness,4
genuinely,4
gon,4
gone,4
gp,4
growing,4
hall,4
hate,4
hello,4
honest,4
hour,4
humorous,4
hurtful,4
illness,4
im,4
indoors,4
inject,4
injection,4
interaction,4
interlocking,4
interrupting,4
invaded,4
involved,4
kindness,4
lady,4
lap,4
laptop,4
lasts,4
local,4
lonely,4
loud,4
machine,4
main,4
maintain,4
mark,4
match,4
meal,4
mentioned,4
middle,4
mild,4
mio,4
missing,4
motivation,4
must,4
netflix,4
noisy,4
non_invasive,4
not_agressive,4
not_anything,4
not_hurt,4
not_like,4
not_make,4
not_movie,4
not_soft,4
not_talk,4
not_welcome,4
numbness,4
offer,4
overly,4
overwhelming,4
panic,4
para,4
parlour,4
passenger,4
patient,4
patronising,4
pen,4
penis,4
pick,4
pimple,4
pity,4
plans,4
position,4
potentially,4
prolonged,4
przyjemny,4
raises,4
real,4
reconfortante,4
relevant,4
resmate,4
respect,4
respectful,4
ribs,4
romantyczny,4
run,4
saw,4
send,4
shake,4
showed,4
silent,4
sliding,4
something_poking,4
soon,4
speed,4
spokj,4
spontaneous,4
sports,4
state,4
stay,4
step,4
stimulated,4
sun,4
super,4
taxi,4
toddler,4
unfortunate,4
unusual,4
verify,4
welcoming,4
wine,4
without_attention,4
worse,4
acaricia,3
accarezzare,3
achieve,3
achievement,3
agradable,3
al,3
alegra,3
alienation,3
appealing,3
argument,3
artificial,3
askotanie,3
asks,3
atencin,3
attached,3
attending,3
attirare,3
awesome,3
bank,3
belittled,3
beloved,3
boundaries,3
brief,3
bully,3
cafeteria,3
carinhoso,3
cat,3
cel,3
chamar,3
character,3
church,3
ciepy,3
club,3
collega,3
comment,3
complicity,3
concentration,3
confiding,3
congratualting,3
constantly,3
country,3
cramps,3
crowd,3
crowded,3
curiosidad,3
daily,3
deadend,3
death,3
decisive,3
deeply,3
delicado,3
demonstrating,3
dentist,3
dependent,3
desperately,3
details,3
di,3
disappointment,3
discreet,3
disrespected,3
dotykany,3
ear,3
easy,3
eg,3
elbow,3
