word,count
my,5250
and,3753
to,3551
the,3407
me,2840
is,2354
in,1765
at,1620
arm,1220
feel,1139
attention,1098
touch,1004
home,995
on,896
or,812
of,785
are,773
with,773
it,771
friend,762
hand,681
we,653
warm,652
partner,624
that,616
gentle,596
comforting,579
soft,573
get,532
he,527
trying,517
back,502
she,494
rubbing,491
am,463
shoulder,461
affection,450
something,432
tapping,431
for,429
romantic,410
but,405
calming,401
touching,395
be,392
calm,387
person,384
forearm,378
annoying,377
they,367
comfort,355
i'm,339
show,339
child,338
wants,313
just,310
like,304
family,301
not,297
this,297
as,291
would,289
comfortable,287
love,279
make,276
some,275
friendly,274
patting,265
about,261
grabbing,254
poking,248
member,245
watching,245
light,232
stroking,231
smooth,229
her,228
sitting,228
an,222
uncomfortable,221
room,219
way,219
pressing,217
work,217
loved,216
soothing,213
relaxing,211
other,209
leg,207
office,204
if,203
calmness,201
delicate,198
sofa,196
because,193
pleasant,192
bit,186
someone,183
up,183
talking,182
very,182
have,180
colleague,175
house,171
fast,169
makes,169
touches,169
his,163
by,161
it's,161
reassuring,161
doctor,159
so,157
annoyed,155
stranger,155
down,153
girlfriend,146
while,146
bed,145
finger,145
intense,144
bedroom,143
tender,141
face,140
tv,140
upper,140
being,139
little,139
was,138
intention,137
having,135
video,134
connection,133
happy,132
tense,132
intimate,131
we're,130
maybe,129
safe,129
slow,129
husband,128
bonding,126
our,126
know,123
feeling,122
firm,121
irritating,121
sensual,121
after,119
consistent,119
good,119
persistent,119
from,118
head,118
couch,117
enjoyable,117
can,115
loving,115
trust,115
kind,114
want,114
mother,112
therapist,112
unpleasant,112
tickling,110
better,109
another,107
gently,107
its,107
embracing,106
relaxed,106
thigh,106
friction,105
pain,104
doing,103
strong,103
out,98
time,98
close,97
also,96
him,96
purposeful,96
what,96
movie,95
rhythmic,95
their,95
ask,94
do,94
your,94
boyfriend,93
living,93
discomfort,92
no,92
public,92
sad,92
arousing,90
aggressive,88
empathy,88
neck,88
compassion,87
skin,87
surprised,87
yes,86
annoy,85
comforted,85
kitchen,84
more,84
sympathy,84
affectionate,83
alarming,83
im,83
nervous,83
cold,82
horizontal,82
them,82
there,82
relief,81
showing,81
adoration,80
noticeable,80
outside,79
vertical,79
doctor's,78
playing,78
professional,78
see,78
she's,78
sister,78
confident,77
give,77
rough,77
help,76
meaningful,76
one,76
situation,76
street,76
curiosity,75
how,75
getting,74
playful,74
slightly,74
caring,73
hard,73
support,73
when,73
you,73
happiness,72
has,72
probably,72
conversation,71
each,71
sexy,71
day,70
will,70
weird,69
belonging,67
