word,synset,definition,synonyms,closest_words,closest_words_with_distances
Work,work.v.01,exert oneself by doing mental or physical work for a purpose or out of necessity,N/A,"work through, putter, carpenter, clerk, page, wait, pull one's weight, electioneer, assist, beaver, work at, plug away, busy, collaborate, volunteer, specialize, minister, intern, skipper, boondoggle","work through (0.333), putter (0.333), carpenter (0.333), clerk (0.333), page (0.333), wait (0.333), pull one's weight (0.333), electioneer (0.333), assist (0.333), beaver (0.333), work at (0.333), plug away (0.333), busy (0.333), collaborate (0.333), volunteer (0.333), specialize (0.333), minister (0.333), intern (0.333), skipper (0.333), boondoggle (0.333)"
Colleague,colleague.n.01,an associate that one works with,"co-worker, fellow_worker, workfellow","associate, adjunct, affiliate, ally, bedfellow, collaborator, colleague, member, participant, shipmate, teammate, attendant, discussant, Areopagite, blood brother, bride, bridge partner, brother, cabalist, charter member","associate (0.053), adjunct (0.100), affiliate (0.100), ally (0.100), bedfellow (0.100), collaborator (0.100), colleague (0.100), member (0.100), participant (0.100), shipmate (0.100), teammate (0.100), attendant (0.143), discussant (0.143), Areopagite (0.143), blood brother (0.143), bride (0.143), bridge partner (0.143), brother (0.143), cabalist (0.143), charter member (0.143)"
Class,class.n.01,a collection of things sharing a common attribute,"category, family","grammatical category, substitution class, brass family, violin family, woodwind family, stamp, sex, declension, conjugation, denomination, histocompatibility complex, collection, case, part of speech, number, person, gender, tense, semantic role, procession","grammatical category (0.091), substitution class (0.091), brass family (0.091), violin family (0.091), woodwind family (0.091), stamp (0.091), sex (0.091), declension (0.091), conjugation (0.091), denomination (0.091), histocompatibility complex (0.091), collection (0.111), case (0.167), part of speech (0.167), number (0.167), person (0.167), gender (0.167), tense (0.167), semantic role (0.167), procession (0.200)"
Class,class.n.02,a body of students who are taught together,"form, grade, course","master class, section, gathering, building, carload, contingent, floor, pair, room, trio, turnout, quartet, quintet, sextet, septet, octet, assembly, crowd, multitude, audience","master class (0.077), section (0.077), gathering (0.091), building (0.167), carload (0.167), contingent (0.167), floor (0.167), pair (0.167), room (0.167), trio (0.167), turnout (0.167), quartet (0.167), quintet (0.167), sextet (0.167), septet (0.167), octet (0.167), assembly (0.167), crowd (0.167), multitude (0.167), audience (0.167)"
Meeting,meeting.n.01,a formally arranged gathering,group_meeting,"board meeting, camp meeting, caucus, conclave, conference, congress, convention, council, forum, plenum, psychotherapy group, stockholders meeting, summit, town meeting, gathering, Constitutional Convention, encounter group, Continental Congress, indaba, Jirga","board meeting (0.077), camp meeting (0.077), caucus (0.077), conclave (0.077), conference (0.077), congress (0.077), convention (0.077), council (0.077), forum (0.077), plenum (0.077), psychotherapy group (0.077), stockholders meeting (0.077), summit (0.077), town meeting (0.077), gathering (0.091), Constitutional Convention (0.143), encounter group (0.143), Continental Congress (0.143), indaba (0.143), Jirga (0.143)"
Exam,examination.n.02,a set of questions or exercises evaluating skill or knowledge,"examination, test","bar examination, comprehensive examination, entrance examination, final examination, litmus test, midterm examination, oral, preliminary examination, quiz, test paper, tripos, communication, pop quiz, transmission, intercommunication, medium, channel, mail, dramaturgy, discussion","bar examination (0.067), comprehensive examination (0.067), entrance examination (0.067), final examination (0.067), litmus test (0.067), midterm examination (0.067), oral (0.067), preliminary examination (0.067), quiz (0.067), test paper (0.067), tripos (0.067), communication (0.077), pop quiz (0.125), transmission (0.143), intercommunication (0.143), medium (0.143), channel (0.143), mail (0.143), dramaturgy (0.143), discussion (0.143)"
Call,call.n.01,a telephone connection,"phone_call, telephone_call","call-back, collect call, call-in, crank call, local call, long distance, conference call, wake-up call, telephone, toll call, three-way calling, voice mail, call forwarding, call waiting, telecommunication, telegraphy, wireless, broadcasting, multiplex, medium","call-back (0.048), collect call (0.048), call-in (0.048), crank call (0.048), local call (0.048), long distance (0.048), conference call (0.048), wake-up call (0.048), telephone (0.053), toll call (0.091), three-way calling (0.091), voice mail (0.100), call forwarding (0.100), call waiting (0.100), telecommunication (0.111), telegraphy (0.158), wireless (0.158), broadcasting (0.158), multiplex (0.158), medium (0.176)"
Coworker,N/A,N/A,N/A,N/A,N/A
Project,undertaking.n.01,any piece of work that is undertaken or attempted,"undertaking, task, labor","cinch, adventure, assignment, baby, enterprise, labor of love, marathon, no-brainer, proposition, tall order, venture, Manhattan Project, work, doddle, school assignment, racket, joint venture, experiment, forlorn hope, written assignment","cinch (0.059), adventure (0.059), assignment (0.059), baby (0.059), enterprise (0.059), labor of love (0.059), marathon (0.059), no-brainer (0.059), proposition (0.059), tall order (0.059), venture (0.059), Manhattan Project (0.059), work (0.067), doddle (0.111), school assignment (0.111), racket (0.111), joint venture (0.111), experiment (0.111), forlorn hope (0.111), written assignment (0.111)"
Classmate,schoolmate.n.01,an acquaintance that you go to school with,"schoolmate, schoolfellow, class_fellow","organism, benthos, dwarf, heterotroph, parent, person, animal, plant, native, recombinant, conspecific, carrier, denizen, amphidiploid, diploid, haploid, heteroploid, polyploid, animalcule, microorganism","organism (0.200), benthos (0.250), dwarf (0.250), heterotroph (0.250), parent (0.250), person (0.250), animal (0.250), plant (0.250), native (0.250), recombinant (0.250), conspecific (0.250), carrier (0.250), denizen (0.250), amphidiploid (0.250), diploid (0.250), haploid (0.250), heteroploid (0.250), polyploid (0.250), animalcule (0.250), microorganism (0.250)"
Teacher,teacher.n.01,a person whose occupation is teaching,instructor,"art teacher, Bahai, catechist, coach, dancing-master, demonstrator, docent, English teacher, French teacher, governess, instructress, math teacher, missionary, music teacher, preceptor, reading teacher, riding master, schoolteacher, science teacher, section man","art teacher (0.043), Bahai (0.043), catechist (0.043), coach (0.043), dancing-master (0.043), demonstrator (0.043), docent (0.043), English teacher (0.043), French teacher (0.043), governess (0.043), instructress (0.043), math teacher (0.043), missionary (0.043), music teacher (0.043), preceptor (0.043), reading teacher (0.043), riding master (0.043), schoolteacher (0.043), science teacher (0.043), section man (0.043)"
Office,office.n.01,place of business where professional or clerical duties are performed,business_office,"box office, countinghouse, government office, headquarters, life office, loan office, newsroom, shipping office, place of business, jobcentre, land office, mukataa, Oval Office, gambling house, health spa, hotel-casino, massage parlor, mercantile establishment, spot, establishment","box office (0.053), countinghouse (0.053), government office (0.053), headquarters (0.053), life office (0.053), loan office (0.053), newsroom (0.053), shipping office (0.053), place of business (0.059), jobcentre (0.100), land office (0.100), mukataa (0.100), Oval Office (0.100), gambling house (0.111), health spa (0.111), hotel-casino (0.111), massage parlor (0.111), mercantile establishment (0.111), spot (0.111), establishment (0.125)"
Lecture,lecture.n.01,a speech that is open to the public,"public_lecture, talk","address, allocution, colloquium, dithyramb, Gettysburg Address, impromptu, inaugural address, litany, oratory, public speaking, sermon, speech act, recitation, keynote speech, nominating speech, oration, debate, declamation, epideictic oratory, stump speech","address (0.067), allocution (0.125), colloquium (0.125), dithyramb (0.125), Gettysburg Address (0.125), impromptu (0.125), inaugural address (0.125), litany (0.125), oratory (0.125), public speaking (0.125), sermon (0.125), speech act (0.143), recitation (0.176), keynote speech (0.176), nominating speech (0.176), oration (0.176), debate (0.176), declamation (0.176), epideictic oratory (0.176), stump speech (0.176)"
Lecture,lecture.n.03,teaching by giving a discourse on some subject (typically to a class),lecturing,"talk, teaching, chalk talk, catechesis, catechetical instruction, language teaching, teaching reading, schooling, indoctrination, tutelage, lesson, sleep-learning, spoonfeeding, education, language lesson, phonics, whole-word method, brainwashing, inculcation, dance lesson","talk (0.043), teaching (0.048), chalk talk (0.083), catechesis (0.091), catechetical instruction (0.091), language teaching (0.091), teaching reading (0.091), schooling (0.091), indoctrination (0.091), tutelage (0.091), lesson (0.091), sleep-learning (0.091), spoonfeeding (0.091), education (0.100), language lesson (0.130), phonics (0.130), whole-word method (0.130), brainwashing (0.130), inculcation (0.130), dance lesson (0.130)"
School,school.n.01,an educational institution,N/A,"academy, correspondence school, crammer, dancing school, direct-grant school, driving school, finishing school, flying school, graduate school, language school, nursing school, religious school, riding school, secondary school, secretarial school, technical school, training school, veterinary school, conservatory, alma mater","academy (0.059), correspondence school (0.059), crammer (0.059), dancing school (0.059), direct-grant school (0.059), driving school (0.059), finishing school (0.059), flying school (0.059), graduate school (0.059), language school (0.059), nursing school (0.059), religious school (0.059), riding school (0.059), secondary school (0.059), secretarial school (0.059), technical school (0.059), training school (0.059), veterinary school (0.059), conservatory (0.059), alma mater (0.059)"
Study,survey.n.01,a detailed critical inspection,survey,"resurvey, examination, audit, autopsy, checkup, comparison, fine-tooth comb, follow-up, going-over, once-over, ophthalmoscopy, palpation, endoscopy, gonioscopy, keratoscopy, rhinoscopy, scan, search, testing, time and motion study","resurvey (0.048), examination (0.053), audit (0.100), autopsy (0.100), checkup (0.100), comparison (0.100), fine-tooth comb (0.100), follow-up (0.100), going-over (0.100), once-over (0.100), ophthalmoscopy (0.100), palpation (0.100), endoscopy (0.100), gonioscopy (0.100), keratoscopy (0.100), rhinoscopy (0.100), scan (0.100), search (0.100), testing (0.100), time and motion study (0.100)"
Study,study.n.02,applying the mind to learning and understanding a subject (especially by reading),work,"learning, conditioning, developmental learning, digestion, education, internalization, imprinting, language learning, memorization, transfer, basic cognitive process, introjection, introjection, audio lingual acquisition, rote, accommodation, assimilation, generalization, acculturation, mastering","learning (0.067), conditioning (0.125), developmental learning (0.125), digestion (0.125), education (0.125), internalization (0.125), imprinting (0.125), language learning (0.125), memorization (0.125), transfer (0.125), basic cognitive process (0.143), introjection (0.176), introjection (0.176), audio lingual acquisition (0.176), rote (0.176), accommodation (0.176), assimilation (0.176), generalization (0.176), acculturation (0.176), mastering (0.176)"
Boss,foreman.n.01,a person who exercises control over workers,"foreman, chief, gaffer, honcho","baas, ganger, straw boss, supervisor, bell captain, counselor, den mother, director, forewoman, overseer, oyabun, proctor, research director, stage manager, system administrator, taskmaster, trail boss, invigilator, ramrod, school superintendent","baas (0.043), ganger (0.043), straw boss (0.043), supervisor (0.048), bell captain (0.091), counselor (0.091), den mother (0.091), director (0.091), forewoman (0.091), overseer (0.091), oyabun (0.091), proctor (0.091), research director (0.091), stage manager (0.091), system administrator (0.091), taskmaster (0.091), trail boss (0.091), invigilator (0.130), ramrod (0.130), school superintendent (0.130)"
University,university.n.01,the body of faculty and students at a university,N/A,"gown, varsity, body, public, Christendom, church, Sacred College, administration, corps, constituency, electoral college, school, college, staff, representation, colony, ulema, leadership, militia, membership","gown (0.077), varsity (0.077), body (0.091), public (0.167), Christendom (0.167), church (0.167), Sacred College (0.167), administration (0.167), corps (0.167), constituency (0.167), electoral college (0.167), school (0.167), college (0.167), staff (0.167), representation (0.167), colony (0.167), ulema (0.167), leadership (0.167), militia (0.167), membership (0.167)"
Lesson,lesson.n.01,a unit of instruction,N/A,"language lesson, dance lesson, music lesson, tennis lesson, golf lesson, teaching, French lesson, German lesson, Hebrew lesson, piano lesson, violin lesson, catechesis, catechetical instruction, language teaching, teaching reading, schooling, indoctrination, tutelage, sleep-learning, spoonfeeding","language lesson (0.043), dance lesson (0.043), music lesson (0.043), tennis lesson (0.043), golf lesson (0.043), teaching (0.048), French lesson (0.083), German lesson (0.083), Hebrew lesson (0.083), piano lesson (0.083), violin lesson (0.083), catechesis (0.091), catechetical instruction (0.091), language teaching (0.091), teaching reading (0.091), schooling (0.091), indoctrination (0.091), tutelage (0.091), sleep-learning (0.091), spoonfeeding (0.091)"
Client,customer.n.01,someone who pays for goods or services,customer,"buyer, guest, patron, policyholder, shopper, spender, subscriber, taker, warrantee, whoremaster, consumer, bargain hunter, customer agent, home buyer, no-show, operagoer, orderer, overnighter, regular, shopaholic","buyer (0.048), guest (0.048), patron (0.048), policyholder (0.048), shopper (0.048), spender (0.048), subscriber (0.048), taker (0.048), warrantee (0.048), whoremaster (0.048), consumer (0.053), bargain hunter (0.091), customer agent (0.091), home buyer (0.091), no-show (0.091), operagoer (0.091), orderer (0.091), overnighter (0.091), regular (0.091), shopaholic (0.091)"
Team,team.n.01,a cooperative unit (especially in sports),squad,"A-team, battery, flying squad, major-league team, minor-league team, baseball team, basketball team, football team, hockey team, junior varsity, varsity, second string, police squad, powerhouse, offense, defense, hit squad, section, little-league team, crew","A-team (0.067), battery (0.067), flying squad (0.067), major-league team (0.067), minor-league team (0.067), baseball team (0.067), basketball team (0.067), football team (0.067), hockey team (0.067), junior varsity (0.067), varsity (0.067), second string (0.067), police squad (0.067), powerhouse (0.067), offense (0.067), defense (0.067), hit squad (0.067), section (0.067), little-league team (0.067), crew (0.067)"
Professor,professor.n.01,someone who is a member of the faculty at a college or university,prof,"assistant professor, associate professor, full professor, Regius professor, visiting professor, academician, educator, lector, principal, schoolmaster, teacher, Bethune, Braille, Carnegie, Comenius, Dewey, Froebel, Gallaudet, Hopkins, Hutchins","assistant professor (0.040), associate professor (0.040), full professor (0.040), Regius professor (0.040), visiting professor (0.040), academician (0.043), educator (0.091), lector (0.130), principal (0.130), schoolmaster (0.130), teacher (0.130), Bethune (0.130), Braille (0.130), Carnegie (0.130), Comenius (0.130), Dewey (0.130), Froebel (0.130), Gallaudet (0.130), Hopkins (0.130), Hutchins (0.130)"
Library,library.n.01,a room where books are kept,N/A,"room, anechoic chamber, anteroom, back room, ballroom, barroom, bathroom, bedroom, belfry, billiard room, boardroom, cardroom, cell, cell, chamber, checkroom, classroom, clean room, cloakroom, closet","room (0.059), anechoic chamber (0.111), anteroom (0.111), back room (0.111), ballroom (0.111), barroom (0.111), bathroom (0.111), bedroom (0.111), belfry (0.111), billiard room (0.111), boardroom (0.111), cardroom (0.111), cell (0.111), cell (0.111), chamber (0.111), checkroom (0.111), classroom (0.111), clean room (0.111), cloakroom (0.111), closet (0.111)"
Grade,grade.v.03,"assign a grade or rank to, according to one's evaluation","score, mark","measure, rate, standardize, reassess, censor, praise, edit, revalue, evaluate, troll, salute, applaud, laud, flatter, eulogize, compliment, rave, commend, commend, advertise","measure (0.143), rate (0.250), standardize (0.250), reassess (0.250), censor (0.250), praise (0.250), edit (0.333), revalue (0.333), evaluate (0.333), troll (0.333), salute (0.333), applaud (0.333), laud (0.333), flatter (0.333), eulogize (0.333), compliment (0.333), rave (0.333), commend (0.333), commend (0.333), advertise (0.333)"
Deadline,deadline.n.01,the point in time at which something must be completed,N/A,"curfew, point, distance, date, arrival time, departure time, midterm, term, midterm, moment, run-time, beginning, middle, end, phase, show time, then, measure, climax, birth","curfew (0.091), point (0.111), distance (0.200), date (0.200), arrival time (0.200), departure time (0.200), midterm (0.200), term (0.200), midterm (0.200), moment (0.200), run-time (0.200), beginning (0.200), middle (0.200), end (0.200), phase (0.200), show time (0.200), then (0.200), measure (0.250), climax (0.273), birth (0.273)"
Report,report.n.01,a written document describing the findings of some individual or group,"study, written_report","assay, case study, white book, blue book, green paper, progress report, position paper, medical report, document, ballot, brevet, capitulation, certificate, charter, commercial document, confession, copyright, enclosure, form, legal document","assay (0.067), case study (0.067), white book (0.067), blue book (0.067), green paper (0.067), progress report (0.067), position paper (0.067), medical report (0.067), document (0.077), ballot (0.143), brevet (0.143), capitulation (0.143), certificate (0.143), charter (0.143), commercial document (0.143), confession (0.143), copyright (0.143), enclosure (0.143), form (0.143), legal document (0.143)"
Presentation,presentation.n.01,the activity of formally presenting something (as a prize or reward),N/A,"ceremony, groundbreaking, purification, lustrum, religious ceremony, military ceremony, activity, agape, rite, service, sacrament, confirmation, sanctification, Oblation, unction, libation, Mass, variation, space walk, domesticity","ceremony (0.067), groundbreaking (0.125), purification (0.125), lustrum (0.125), religious ceremony (0.125), military ceremony (0.125), activity (0.143), agape (0.176), rite (0.176), service (0.176), sacrament (0.176), confirmation (0.176), sanctification (0.176), Oblation (0.176), unction (0.176), libation (0.176), Mass (0.176), variation (0.200), space walk (0.200), domesticity (0.200)"
