word,synset,definition,synonyms
Pat,tap.n.08,a light touch or stroke,"tap, dab"
Cuddle,cuddle.n.01,a close and affectionate (and often prolonged) embrace,"nestle, snuggle"
Cuddle,cuddle.v.01,move or arrange oneself in a comfortable and cozy position,"snuggle, nestle, nest, nuzzle, draw_close"
Cuddle,cuddle.v.02,"hold (a person or thing) close, as for affection, comfort, or warmth",N/A
Stroke,stroke.n.04,a light touch,N/A
Caress,caress.n.01,a gentle affectionate stroking (or something resembling it),N/A
Caress,caress.v.01,touch or stroke lightly in a loving or endearing manner,fondle
Affection,affection.n.01,a positive feeling of liking,"affectionateness, fondness, tenderness, heart, warmness, warmheartedness, philia"
Romantic,amatory.s.01,expressive of or exciting sexual love or romance,"amatory, amorous"
Hug,hug.n.01,a tight or amorous embrace,"clinch, squeeze"
Partner,spouse.n.01,a person's partner in marriage,"spouse, married_person, mate, better_half"
Love,love.n.01,a strong positive emotion of regard and affection,N/A
Close,close.v.11,"come together, as if in an embrace",come_together
Warm,warm.v.01,get warm or warmer,warm_up
Pet,pet.n.01,a domesticated animal kept for companionship or amusement,N/A
Intimate,confidant.n.01,someone to whom private matters are confided,confidant
Intimate,intimate.s.04,involved in a sexual relationship,sexual
Together,together.s.01,mentally and emotionally stable,N/A
Together,together.r.01,in contact with each other or in proximity,N/A
Affectionate,affectionate.s.01,having or displaying warmth or affection,"fond, lovesome, tender, warm"
Kiss,kiss.n.01,the act of caressing with the lips (or an instance thereof),"buss, osculation"
Hold_hands,N/A,N/A,N/A
Gentle,gentle.s.01,soft and mild; not harsh or stern or severe,soft
Loving,love.v.01,have a great affection or liking for,love
Loving,love.v.03,be enamored or in love with,love
Sweet,gratifying.s.01,pleasing to the mind or feeling,gratifying
Embrace,embrace.n.01,the act of clasping another person in the arms (as in greeting or affection),"embracing, embracement"
Warmth,warmheartedness.n.01,a warmhearted feeling,warmheartedness
Rubbing,rub.v.01,move over something with pressure,rub
Comfort,comfort.n.01,a state of being relaxed and feeling no pain,comfortableness
Closeness,closeness.n.01,a feeling of being intimate and belonging together,intimacy
