word,synset,definition,synonyms
Child,child.n.01,a young person of either sex,"kid, youngster, minor, shaver, nipper, small_fry, tiddler, tike, tyke, fry, nestling"
Attention,attention.n.01,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others,attending
Play,play.v.05,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,N/A
Son,son.n.01,a male human offspring,boy
Nephew,nephew.n.01,a son of your brother or sister,N/A
Kid,child.n.01,a young person of either sex,"child, youngster, minor, shaver, nipper, small_fry, tiddler, tike, tyke, fry, nestling"
Ask,ask.v.01,inquire about,"inquire, enquire"
Daughter,daughter.n.01,a female human offspring,girl
Show,display.n.01,something intended to communicate a particular impression,display
Show,show.n.03,a social event involving a public performance or entertainment,N/A
Poke,poke.v.03,stir by poking,N/A
Tap,tap.v.03,strike lightly,tip
Tap,tap.v.07,"make light, repeated taps on a surface","rap, knock, pink"
Call,call.n.01,a telephone connection,"phone_call, telephone_call"
Niece,niece.n.01,a daughter of your brother or sister,N/A
Baby,baby.n.01,a very young child (birth to 1 year) who has not yet begun to walk or talk,"babe, infant"
Help,aid.n.02,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose,"aid, assist, assistance"
Boy,male_child.n.01,a youthful male person,male_child
Toddler,toddler.n.01,a young child,"yearling, tot, bambino"
Toy,plaything.n.01,an artifact designed to be played with,plaything
Girl,girl.n.01,a young woman,"miss, missy, young_lady, young_woman, fille"
Wake,wake.v.01,"be awake, be alert, be there",N/A
Ice_cream,ice_cream.n.01,frozen dessert containing cream and sugar and flavoring,icecream
Cry,cry.n.01,a loud utterance; often in protest or opposition,"outcry, call, yell, shout, vociferation"
Tantrum,fit.n.01,a display of bad temper,"fit, scene, conniption"
Hungry,hungry.a.01,feeling hunger; feeling a need or desire to eat food,N/A
Snack,bite.n.04,a light informal meal,"bite, collation"
