word,synset,definition,synonyms,closest_words,closest_words_with_distances
Child,child.n.01,a young person of either sex,"kid, youngster, minor, shaver, nipper, small_fry, tiddler, tike, tyke, fry, nestling","bairn, buster, changeling, child prodigy, foster-child, imp, kiddy, orphan, peanut, pickaninny, poster child, preschooler, silly, sprog, toddler, urchin, waif, foster-daughter, foster-son, poster boy","bairn (0.053), buster (0.053), changeling (0.053), child prodigy (0.053), foster-child (0.053), imp (0.053), kiddy (0.053), orphan (0.053), peanut (0.053), pickaninny (0.053), poster child (0.053), preschooler (0.053), silly (0.053), sprog (0.053), toddler (0.053), urchin (0.053), waif (0.053), foster-daughter (0.100), foster-son (0.100), poster boy (0.100)"
Attention,attention.n.01,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others,attending,"attentiveness, clock-watching, ear, eye, notice, notice, basic cognitive process, mind, advertence, remark, inattention, intuition, perception, apperception, believing, classification, discrimination, learning, memory, representational process","attentiveness (0.067), clock-watching (0.067), ear (0.067), eye (0.067), notice (0.067), notice (0.067), basic cognitive process (0.077), mind (0.125), advertence (0.125), remark (0.125), inattention (0.143), intuition (0.143), perception (0.143), apperception (0.143), believing (0.143), classification (0.143), discrimination (0.143), learning (0.143), memory (0.143), representational process (0.143)"
Play,play.v.05,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,N/A,"roughhouse, horse around, frolic, dabble, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag","roughhouse (0.200), horse around (0.200), frolic (0.200), dabble (0.200), entity (0.600), breathe (0.600), act (0.600), be active (0.600), oversleep (0.600), nod (0.600), fall asleep (0.600), go to bed (0.600), get up (0.600), wake (0.600), keep up (0.600), wear (0.600), lie in (0.600), carry to term (0.600), keep down (0.600), gag (0.600)"
Son,son.n.01,a male human offspring,boy,"Junior, mother's boy, Esau, child, army brat, baby, female offspring, male offspring, stepchild, offspring, blue baby, cherub, daughter, foundling, godchild, neonate, nursling, papoose, stepdaughter, stepson","Junior (0.040), mother's boy (0.040), Esau (0.040), child (0.091), army brat (0.130), baby (0.130), female offspring (0.130), male offspring (0.130), stepchild (0.130), offspring (0.143), blue baby (0.167), cherub (0.167), daughter (0.167), foundling (0.167), godchild (0.167), neonate (0.167), nursling (0.167), papoose (0.167), stepdaughter (0.167), stepson (0.167)"
Nephew,nephew.n.01,a son of your brother or sister,N/A,"great-nephew, kinsman, male sibling, uncle, brother, great-uncle, big brother, little brother, stepbrother, organism, benthos, dwarf, heterotroph, parent, person, animal, plant, native, recombinant, conspecific","great-nephew (0.048), kinsman (0.053), male sibling (0.100), uncle (0.100), brother (0.143), great-uncle (0.143), big brother (0.182), little brother (0.182), stepbrother (0.182), organism (0.250), benthos (0.294), dwarf (0.294), heterotroph (0.294), parent (0.294), person (0.294), animal (0.294), plant (0.294), native (0.294), recombinant (0.294), conspecific (0.294)"
Kid,child.n.01,a young person of either sex,"child, youngster, minor, shaver, nipper, small_fry, tiddler, tike, tyke, fry, nestling","bairn, buster, changeling, child prodigy, foster-child, imp, kiddy, orphan, peanut, pickaninny, poster child, preschooler, silly, sprog, toddler, urchin, waif, foster-daughter, foster-son, poster boy","bairn (0.053), buster (0.053), changeling (0.053), child prodigy (0.053), foster-child (0.053), imp (0.053), kiddy (0.053), orphan (0.053), peanut (0.053), pickaninny (0.053), poster child (0.053), preschooler (0.053), silly (0.053), sprog (0.053), toddler (0.053), urchin (0.053), waif (0.053), foster-daughter (0.100), foster-son (0.100), poster boy (0.100)"
Ask,ask.v.01,inquire about,"inquire, enquire","pry, consult, communicate, grimace, yak, fingerspell, aphorize, riddle, project, reach, inflict, commune, telecommunicate, inform, joke, blog, greet, address, nod, sign","pry (0.111), consult (0.111), communicate (0.143), grimace (0.250), yak (0.250), fingerspell (0.250), aphorize (0.250), riddle (0.250), project (0.250), reach (0.250), inflict (0.250), commune (0.250), telecommunicate (0.250), inform (0.250), joke (0.250), blog (0.250), greet (0.250), address (0.250), nod (0.250), sign (0.250)"
Daughter,daughter.n.01,a female human offspring,girl,"mother's daughter, child, army brat, baby, female offspring, male offspring, stepchild, offspring, blue baby, cherub, foundling, godchild, neonate, nursling, papoose, son, stepdaughter, stepson, test-tube baby, war baby","mother's daughter (0.040), child (0.091), army brat (0.130), baby (0.130), female offspring (0.130), male offspring (0.130), stepchild (0.130), offspring (0.143), blue baby (0.167), cherub (0.167), foundling (0.167), godchild (0.167), neonate (0.167), nursling (0.167), papoose (0.167), son (0.167), stepdaughter (0.167), stepson (0.167), test-tube baby (0.167), war baby (0.167)"
Show,display.n.01,something intended to communicate a particular impression,display,"big stick, gaudery, demonstration, expression, exemplification, visual communication, lamentation, act, effusion, video, video, gesture, body language, eye contact, projection, artwork, graphic design, chart, graph, acting out","big stick (0.077), gaudery (0.077), demonstration (0.091), expression (0.167), exemplification (0.167), visual communication (0.200), lamentation (0.231), act (0.231), effusion (0.231), video (0.273), video (0.273), gesture (0.273), body language (0.273), eye contact (0.273), projection (0.273), artwork (0.273), graphic design (0.273), chart (0.273), graph (0.273), acting out (0.286)"
Show,show.n.03,a social event involving a public performance or entertainment,N/A,"stage dancing, movie, attraction, broadcast, performance, burlesque, play, galanty show, puppet show, variety show, social event, ballet, modern dance, apache dance, belly dance, bolero, cakewalk, cancan, nude dancing, telefilm","stage dancing (0.077), movie (0.077), attraction (0.077), broadcast (0.077), performance (0.077), burlesque (0.077), play (0.077), galanty show (0.077), puppet show (0.077), variety show (0.077), social event (0.091), ballet (0.143), modern dance (0.143), apache dance (0.143), belly dance (0.143), bolero (0.143), cakewalk (0.143), cancan (0.143), nude dancing (0.143), telefilm (0.143)"
Poke,poke.v.03,stir by poking,N/A,"agitate, beat, toss, roil, tumble, whisk, cream, muddle, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear","agitate (0.200), beat (0.333), toss (0.333), roil (0.333), tumble (0.429), whisk (0.429), cream (0.429), muddle (0.429), entity (0.667), breathe (0.667), act (0.667), be active (0.667), oversleep (0.667), nod (0.667), fall asleep (0.667), go to bed (0.667), get up (0.667), wake (0.667), keep up (0.667), wear (0.667)"
Tap,tap.v.03,strike lightly,tip,"percuss, strike, jab, dab, butt, knock, down, spur, peck, hew, sideswipe, whip, beat, beat, sclaff, clout, rap, chop, slap, sclaff","percuss (0.143), strike (0.200), jab (0.333), dab (0.333), butt (0.333), knock (0.333), down (0.333), spur (0.333), peck (0.333), hew (0.333), sideswipe (0.333), whip (0.333), beat (0.333), beat (0.333), sclaff (0.333), clout (0.333), rap (0.333), chop (0.333), slap (0.333), sclaff (0.333)"
Tap,tap.v.07,"make light, repeated taps on a surface","rap, knock, pink","sound, snarl, whistle, blow, ting, make noise, splat, twang, clang, clank, clangor, boom, drum, rattle, tick, resonate, crash, tweet, skirl, gurgle","sound (0.200), snarl (0.333), whistle (0.333), blow (0.333), ting (0.333), make noise (0.333), splat (0.333), twang (0.333), clang (0.333), clank (0.333), clangor (0.333), boom (0.333), drum (0.333), rattle (0.333), tick (0.333), resonate (0.333), crash (0.333), tweet (0.333), skirl (0.333), gurgle (0.333)"
Call,call.n.01,a telephone connection,"phone_call, telephone_call","call-back, collect call, call-in, crank call, local call, long distance, conference call, wake-up call, telephone, toll call, three-way calling, voice mail, call forwarding, call waiting, telecommunication, telegraphy, wireless, broadcasting, multiplex, medium","call-back (0.048), collect call (0.048), call-in (0.048), crank call (0.048), local call (0.048), long distance (0.048), conference call (0.048), wake-up call (0.048), telephone (0.053), toll call (0.091), three-way calling (0.091), voice mail (0.100), call forwarding (0.100), call waiting (0.100), telecommunication (0.111), telegraphy (0.158), wireless (0.158), broadcasting (0.158), multiplex (0.158), medium (0.176)"
Niece,niece.n.01,a daughter of your brother or sister,N/A,"great-niece, kinswoman, aunt, female sibling, great-aunt, maiden aunt, sister, big sister, little sister, half sister, organism, benthos, dwarf, heterotroph, parent, person, animal, plant, native, recombinant","great-niece (0.048), kinswoman (0.053), aunt (0.100), female sibling (0.100), great-aunt (0.143), maiden aunt (0.143), sister (0.143), big sister (0.182), little sister (0.182), half sister (0.182), organism (0.250), benthos (0.294), dwarf (0.294), heterotroph (0.294), parent (0.294), person (0.294), animal (0.294), plant (0.294), native (0.294), recombinant (0.294)"
Baby,baby.n.01,a very young child (birth to 1 year) who has not yet begun to walk or talk,"babe, infant","blue baby, cherub, foundling, godchild, neonate, nursling, papoose, test-tube baby, war baby, child, goddaughter, godson, liveborn infant, low-birth-weight baby, postmature infant, premature baby, small-for-gestational-age infant, stillborn infant, term infant, army brat","blue baby (0.043), cherub (0.043), foundling (0.043), godchild (0.043), neonate (0.043), nursling (0.043), papoose (0.043), test-tube baby (0.043), war baby (0.043), child (0.048), goddaughter (0.083), godson (0.083), liveborn infant (0.083), low-birth-weight baby (0.083), postmature infant (0.083), premature baby (0.083), small-for-gestational-age infant (0.083), stillborn infant (0.083), term infant (0.083), army brat (0.091)"
Help,aid.n.02,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose,"aid, assist, assistance","self-help, facilitation, hand, recourse, thanks, relief, lift, service, accommodation, boost, comfort, support, activity, service, childcare, community service, community service, help desk, seating, morale building","self-help (0.067), facilitation (0.067), hand (0.067), recourse (0.067), thanks (0.067), relief (0.067), lift (0.067), service (0.067), accommodation (0.067), boost (0.067), comfort (0.067), support (0.067), activity (0.077), service (0.125), childcare (0.125), community service (0.125), community service (0.125), help desk (0.125), seating (0.125), morale building (0.125)"
Boy,male_child.n.01,a youthful male person,male_child,"altar boy, ball boy, bat boy, cub, catamite, farm boy, Fauntleroy, plowboy, schoolboy, Scout, shop boy, Boy Scout, Girl Scout, Brownie, Cub Scout, Eagle Scout, rover, Sea Scout, organism, benthos","altar boy (0.053), ball boy (0.053), bat boy (0.053), cub (0.053), catamite (0.053), farm boy (0.053), Fauntleroy (0.053), plowboy (0.053), schoolboy (0.053), Scout (0.053), shop boy (0.053), Boy Scout (0.100), Girl Scout (0.100), Brownie (0.143), Cub Scout (0.143), Eagle Scout (0.143), rover (0.143), Sea Scout (0.143), organism (0.200), benthos (0.250)"
Toddler,toddler.n.01,a young child,"yearling, tot, bambino","child, bairn, buster, changeling, child prodigy, foster-child, imp, kiddy, orphan, peanut, pickaninny, poster child, preschooler, silly, sprog, urchin, waif, foster-daughter, foster-son, poster boy","child (0.053), bairn (0.100), buster (0.100), changeling (0.100), child prodigy (0.100), foster-child (0.100), imp (0.100), kiddy (0.100), orphan (0.100), peanut (0.100), pickaninny (0.100), poster child (0.100), preschooler (0.100), silly (0.100), sprog (0.100), urchin (0.100), waif (0.100), foster-daughter (0.143), foster-son (0.143), poster boy (0.143)"
