word,synset,definition,synonyms
Attention,attention.n.01,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others,attending
Attention,care.n.01,the work of providing treatment for or attending to someone or something,"care, aid, tending"
Tap,tap.v.07,"make light, repeated taps on a surface","rap, knock, pink"
Ask,ask.v.01,inquire about,"inquire, enquire"
Poke,poke.v.03,stir by poking,N/A
Pat,tap.n.08,a light touch or stroke,"tap, dab"
Pat,chuck.v.03,"pat or squeeze fondly or playfully, especially under the chin",chuck
Pat,dab.v.02,hit lightly,dab
Call,call.n.06,a brief social visit,N/A
Call,visit.v.03,pay a brief visit,"visit, call_in"
Wake,wake.v.01,"be awake, be alert, be there",N/A
Wake,wake_up.v.02,stop sleeping,"wake_up, awake, arouse, awaken, come_alive, waken"
Show,show.n.01,the act of publicly exhibiting or entertaining,N/A
Show,show.n.03,a social event involving a public performance or entertainment,N/A
Question,question.n.01,an instance of questioning,"inquiry, enquiry, query, interrogation"
Grab,catch.n.09,the act of catching an object with the hands,"catch, snatch, snap"
Catch,catch.v.04,take hold of so as to seize or restrain or stop the motion of,"grab, take_hold_of"
Catch,catch.v.07,attract and fix,"arrest, get"
Catch,capture.v.02,attract; cause to be enamored,"capture, enamour, trance, becharm, enamor, captivate, beguile, charm, fascinate, bewitch, entrance, enchant"
Line,telephone_line.n.02,a telephone connection,"telephone_line, phone_line, telephone_circuit, subscriber_line"
Line,channel.n.05,(often plural) a means of communication or access,"channel, communication_channel"
Line,line.n.29,a conceptual separation or distinction,"dividing_line, demarcation, contrast"
Look,expression.n.01,the feelings expressed on a person's face,"expression, aspect, facial_expression, face"
Look,look.n.02,the act of directing the eyes toward something and perceiving it visually,"looking, looking_at"
Draw,pull.v.01,cause to move by pulling,"pull, force"
Draw,draw.v.16,bring or lead someone to a certain action or condition,N/A
Hear,hear.v.01,perceive (sound) via the auditory sense,N/A
Gesture,gesture.n.01,motion of hands or body to emphasize or help to express a thought or feeling,N/A
Queue,queue.n.01,a line of people or vehicles waiting for something,waiting_line
Talk,talk.n.01,an exchange of ideas via conversation,talking
Talk,talk.n.02,discussion; (`talk about' is a less formal alternative for `discussion of'),N/A
Knock,knock.n.01,the sound of knocking (as on a door or in an engine or bearing),knocking
Pass,guide.v.05,"pass over, across, or through","guide, run, draw"
Move,move.n.02,the act of changing your residence or place of business,relocation
Move,motion.n.03,a change of position that does not entail a change of location,"motion, movement, motility"
Alert,alert.n.01,condition of heightened watchfulness or preparation for action,qui_vive
Speak,talk.v.02,express in speech,"talk, utter, mouth, verbalize, verbalise"
Tell,state.v.01,express in words,"state, say"
Paying_attention,attentiveness.n.01,paying particular notice (as to children or helpless people),"attentiveness, heed, regard"
