word,synset,definition,synonyms
Stranger,stranger.n.01,anyone who does not belong in the environment in which they are found,"alien, unknown"
Attention,attention.n.01,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others,attending
Grab,grab.n.01,a mechanical device for gripping an object,N/A
Rub,rub.n.02,the act of rubbing or wiping,wipe
Trying,try.v.01,make an effort or attempt,"try, seek, attempt, essay, assay"
Uncomfortable,uncomfortable.a.01,conducive to or feeling mental discomfort,N/A
Weird,weird.s.02,strikingly odd or unusual; - Bram Stoker,N/A
Aggressively,aggressively.r.01,in an aggressive manner,sharply
Flirt,flirt.n.02,playful behavior intended to arouse sexual interest,"flirting, flirtation, coquetry, dalliance, toying"
Wants,need.n.02,anything that is necessary but lacking,"need, want"
Ask,ask.v.02,make a request or demand for something to somebody,N/A
Behind,behind.r.01,in or to or toward the rear,N/A
Touched,touch.v.01,"make physical contact with, come in contact with",touch
Consent,consent.n.01,permission to do something,N/A
Creepy,creepy.s.01,annoying and unpleasant,N/A
Random,random.a.01,lacking any definite plan or order or purpose; governed by or depending on chance,N/A
Man,man.n.01,an adult person who is male (as opposed to a woman),adult_male
Approached,approach.v.01,move towards,"approach, near, come_on, go_up, draw_near, draw_close, come_near"
Stopped,stop.v.01,"come to a halt, stop moving","stop, halt"
Pervert,pervert.n.01,a person whose behavior deviates from what is acceptable especially in sexual behavior,"deviant, deviate, degenerate"
Inappropriate,inappropriate.a.01,not suitable for a particular occasion etc,N/A
Boundary,boundary.n.02,a line determining the limits of an area,"edge, bound"
Pick_fight,N/A,N/A,N/A
Not_okay,N/A,N/A,N/A
