word,count
touching,226
watching,226
trying,218
arm,213
attention,212
touch,204
friend,203
something,184
talking,166
sitting,154
person,153
get,151
hand,141
wants,118
tv,113
rubbing,108
child,100
back,94
shoulder,92
someone,91
movie,89
partner,87
feel,79
forearm,77
gentle,75
finger,73
tapping,73
comfort,69
comforting,66
like,62
im,60
day,58
time,58
conversation,57
way,57
doctor,56
sad,56
work,52
ask,50
couch,50
family,49
relaxing,49
bed,48
telling,47
news,46
together,46
bad,45
chilling,45
playing,45
colleague,44
next,43
waiting,43
feeling,42
leg,42
need,42
stranger,40
face,39
home,37
talk,37
poking,36
situation,35
caress,34
starts,34
one,33
upset,33
cuddling,32
going,32
happened,32
life,32
mother,32
nt,32
sofa,32
show,31
table,31
around,30
video,30
walk,30
working,30
take,29
chat,28
getting,28
member,28
girlfriend,27
pain,27
touched,27
know,26
patting,26
skin,26
behind,25
comes,25
make,25
romantic,25
rub,25
try,25
asleep,24
checking,24
head,24
lying,24
massage,24
maybe,24
catch,22
cry,22
emotional,22
phone,22
problems,22
see,22
affection,21
calm,21
husband,21
making,21
outside,21
reassured,21
stroking,21
therapist,21
another,20
dinner,20
people,20
wake,20
good,19
left,19
pressure,19
annoy,18
area,18
close,18
mom,18
repeatedly,18
television,18
would,18
grab,17
hurt,17
kid,17
play,17
probably,17
question,17
room,17
sister,17
taps,17
bored,16
calling,16
class,16
laying,16
long,16
pats,16
son,16
things,16
us,16
watch,16
annoying,15
boyfriend,15
check,15
else,15
hear,15
looking,15
looks,15
moment,15
received,15
share,15
tell,15
told,15
body,14
came,14
consoling,14
difficult,14
music,14
na,14
neck,14
playful,14
could,13
distracted,13
fun,13
game,13
giving,13
hugging,13
lightly,13
listening,13
lost,13
lunch,13
nervous,13
reading,13
showing,13
sit,13
went,13
brother,12
calming,12
cared,12
chest,12
coffee,12
cold,12
cream,12
currently,12
exam,12
love,12
massaging,12
meeting,12
nephew,12
softly,12
strokes,12
test,12
two,12
using,12
bus,11
call,11
cheer,11
coworker,11
date,11
food,11
front,11
go,11
hair,11
help,11
jokingly,11
order,11
part,11
pass,11
speak,11
street,11
stress,11
warm,11
wife,11
affectionate,10
cook,10
discussing,10
drinking,10
event,10
examining,10
give,10
hanging,10
intimate,10
issues,10
kitchen,10
light,10
lower,10
manner,10
move,10
nurse,10
physical,10
pressing,10
right,10
slowly,10
therapy,10
visiting,10
wrist,10
bench,9
better,9
computer,9
console,9
cousin,9
daughter,9
drinks,9
driving,9
enjoying,9
fell,9
happening,9
important,9
jestem,9
morning,9
place,9
pointy,9
sexual,9
shop,9
suddenly,9
thigh,9
upper,9
without,9
also,8
away,8
book,8
break,8
busy,8
comfortable,8
decide,8
deep,8
done,8
eye,8
father,8
felt,8
find,8
focusing,8
got,8
hard,8
headphones,8
holding,8
joke,8
leave,8
line,8
mine,8
nice,8
parents,8
poke,8
ready,8
relaxed,8
saying,8
shehe,8
side,8
spending,8
spot,8
standing,8
stressful,8
task,8
whilst,8
anxiety,7
blood,7
car,7
classmate,7
cuddle,7
desk,7
draw,7
everything,7
examination,7
favorite,7
film,7
finished,7
grandma,7
helping,7
heshe,7
hug,7
laughing,7
lot,7
made,7
might,7
muscle,7
normal,7
old,7
pleasant,7
professional,7
project,7
relative,7
rest,7
rough,7
rubbed,7
seat,7
seated,7
session,7
several,7
sleeping,7
soft,7
store,7
support,7
teacher,7
una,7
wanted,7
aggressive,6
almost,6
anxious,6
appointment,6
belly,6
best,6
bothering,6
co,6
company,6
contact,6
describing,6
discuss,6
eating,6
end,6
evening,6
examine,6
excited,6
form,6
gesture,6
goodbye,6
group,6
happy,6
health,6
heart,6
hospital,6
house,6
index,6
intercourse,6
interested,6
job,6
la,6
laugh,6
lecture,6
lesson,6
let,6
lounge,6
may,6
mnie,6
new,6
nieces,6
not_paying_attention,6
noticed,6
office,6
palm,6
park,6
pay,6
pet,6
que,6
random,6
recent,6
results,6
said,6
school,6
sensation,6
sense,6
series,6
smile,6
snacks,6
somebody,6
soothing,6
started,6
stomach,6
story,6
stuff,6
think,6
thinking,6
tough,6
treatment,6
tree,6
weird,6
acquaintance,5
across,5
arousing,5
asked,5
baby,5
boss,5
braccio,5
cafe,5
cartoons,5
casual,5
cause,5
client,5
concern,5
either,5
engaging,5
explaining,5
express,5
failed,5
first,5
found,5
grandmother,5
grandparent,5
knee,5
lean,5
lie,5
listen,5
medical,5
mum,5
night,5
okay,5
perhaps,5
picnic,5
public,5
put,5
queue,5
reaches,5
running,5
say,5
shown,5
significant,5
simply,5
smooth,5
social,5
socializing,5
specific,5
tea,5
testing,5
tip,5
topics,5
travelling,5
university,5
venting,5
visit,5
well,5
whether,5
woken,5
alone,4
approaches,4
arrive,4
awkward,4
bedroom,4
begin,4
boy,4
brush,4
budzony,4
buy,4
casually,4
change,4
checked,4
closeness,4
condition,4
continuously,4
couple,4
cute,4
dealing,4
depressed,4
direction,4
ease,4
