word,count
my,1526
me,884
to,876
is,874
and,831
the,807
are,551
we,542
in,386
on,364
with,283
am,276
touching,225
watching,224
he,223
attention,218
i'm,215
trying,215
she,212
arm,210
of,207
something,185
friend,173
about,165
talking,165
just,164
at,162
or,158
sitting,153
get,149
that,146
some,132
hand,129
person,129
for,124
they,117
tv,113
having,112
we're,111
rubbing,105
touches,104
while,100
back,96
child,96
it,94
touch,93
wants,92
someone,91
movie,90
have,86
other,86
shoulder,86
partner,84
her,78
up,77
forearm,76
as,74
an,72
by,72
after,71
be,71
tapping,71
feel,67
finger,67
his,65
comforting,64
because,63
our,60
im,59
this,59
being,58
down,58
like,58
conversation,57
sad,57
way,57
gently,56
day,54
work,54
was,53
comfort,51
couch,51
doctor,51
so,50
doing,49
family,49
relaxing,49
bed,48
each,47
telling,47
news,46
together,46
bad,45
playing,45
chilling,44
next,43
not,43
waiting,43
feeling,42
from,42
colleague,41
leg,41
out,41
she's,41
time,41
face,39
if,38
home,37
talk,37
stranger,36
how,35
poking,35
their,35
them,34
going,33
situation,33
sofa,33
but,32
show,32
cuddling,31
has,31
him,31
one,31
around,30
had,30
ask,29
mother,29
upset,29
working,29
getting,28
life,28
table,28
member,27
need,27
pain,27
starts,27
girlfriend,26
happened,26
he's,26
skin,26
video,26
what,26
behind,25
during,25
it's,25
make,25
romantic,25
through,25
touched,25
very,25
checking,24
friends,24
head,24
lying,24
maybe,24
know,23
asking,22
patting,22
see,22
walking,22
when,22
you,22
affection,21
chatting,21
comes,21
crying,21
do,21
making,21
outside,21
stroking,21
therapist,21
calm,20
can,20
dinner,20
good,20
husband,20
people,20
phone,20
there,20
annoy,19
another,19
been,19
gentle,19
left,19
massage,19
mom,19
emotional,18
i've,18
pressure,18
television,18
want,18
would,18
both,17
calling,17
over,17
probably,17
room,17
taking,17
times,17
us,17
area,16
asleep,16
bit,16
bored,16
class,16
laying,16
long,16
problems,16
rubs,16
sister,16
son,16
before,15
caressing,15
catch,15
don't,15
else,15
its,15
looking,15
needs,15
nothing,15
play,15
repeatedly,15
same,15
then,15
told,15
watch,15
which,15
annoying,14
body,14
boyfriend,14
close,14
consoling,14
giving,14
grab,14
moment,14
music,14
neck,14
personal,14
question,14
reassuring,14
they're,14
tries,14
were,14
where,14
any,13
came,13
check,13
fun,13
hugging,13
lightly,13
listening,13
little,13
lost,13
lunch,13
now,13
reading,13
showing,13
sit,13
tell,13
went,13
care,12
caresses,12
chest,12
cold,12
cream,12
difficult,12
hands,12
massaging,12
meeting,12
more,12
na,12
nephew,12
pats,12
received,12
softly,12
taps,12
things,12
try,12
two,12
under,12
using,12
bus,11
call,11
calming,11
cheer,11
coffee,11
could,11
distracted,11
feels,11
food,11
front,11
give,11
go,11
hurt,11
into,11
lower,11
