group_key,word,count,total_group_count,is_main,variation_rank
touching,touching,224,226,True,1
watching,watching,222,226,True,1
trying,trying,215,218,True,1
arm,arm,208,213,True,1
attention,attention,211,212,True,1
touch,touch,103,204,True,1
friend,friend,174,203,True,1
something,something,184,184,True,1
talking,talking,164,166,True,1
sitting,sitting,153,154,True,1
person,person,132,153,True,1
get,get,149,151,True,1
hand,hand,129,141,True,1
wants,wants,92,118,True,1
tv,tv,113,113,True,1
rubbing,rubbing,105,108,True,1
child,child,97,100,True,1
back,back,94,94,True,1
shoulder,shoulder,84,92,True,1
someone,someone,91,91,True,1
movie,movie,89,89,True,1
partner,partner,83,87,True,1
feel,feel,68,79,True,1
forearm,forearm,76,77,True,1
gentle,gentle,56,75,True,1
finger,finger,67,73,True,1
tapping,tapping,71,73,True,1
comfort,comfort,51,69,True,1
comforting,comforting,64,66,True,1
like,like,58,62,True,1
im,im,60,60,True,1
time,time,41,58,True,1
day,day,4,58,True,1
way,way,56,57,True,1
conversation,conversation,57,57,True,1
doctor,doctor,53,56,True,1
sad,sad,56,56,True,1
work,work,52,52,True,1
couch,couch,50,50,True,1
ask,ask,22,50,True,1
family,family,48,49,True,1
relaxing,relaxing,49,49,True,1
bed,bed,48,48,True,1
telling,telling,47,47,True,1
together,together,46,46,True,1
news,news,46,46,True,1
chilling,chilling,44,45,True,1
playing,playing,45,45,True,1
bad,bad,45,45,True,1
colleague,colleague,1,44,True,1
next,next,43,43,True,1
waiting,waiting,43,43,True,1
feeling,feeling,40,42,True,1
need,need,27,42,True,1
leg,leg,40,42,True,1
stranger,stranger,36,40,True,1
face,face,39,39,True,1
talk,talk,36,37,True,1
home,home,37,37,True,1
poking,poking,35,36,True,1
situation,situation,33,35,True,1
caress,caress,16,34,True,1
starts,starts,27,34,True,1
upset,upset,4,33,True,1
one,one,33,33,True,1
cuddling,cuddling,31,32,True,1
mother,mother,30,32,True,1
happened,happened,25,32,True,1
sofa,sofa,32,32,True,1
going,going,32,32,True,1
life,life,28,32,True,1
nt,nt,32,32,True,1
table,table,28,31,True,1
show,show,31,31,True,1
working,working,1,30,True,1
walk,walk,22,30,True,1
around,around,30,30,True,1
video,video,26,30,True,1
take,take,10,29,True,1
member,member,27,28,True,1
getting,getting,28,28,True,1
chat,chat,21,28,True,1
girlfriend,girlfriend,26,27,True,1
pain,pain,27,27,True,1
touched,touched,25,27,True,1
skin,skin,26,26,True,1
patting,patting,22,26,True,1
know,know,25,26,True,1
romantic,romantic,25,25,True,1
try,try,12,25,True,1
make,make,25,25,True,1
comes,comes,21,25,True,1
behind,behind,25,25,True,1
rub,rub,16,25,True,1
lying,lying,24,24,True,1
maybe,maybe,24,24,True,1
checking,checking,24,24,True,1
head,head,24,24,True,1
asleep,asleep,16,24,True,1
massage,massage,19,24,True,1
catch,catch,7,22,True,1
phone,phone,20,22,True,1
problems,problems,16,22,True,1
emotional,emotional,18,22,True,1
cry,cry,21,22,True,1
see,see,22,22,True,1
affection,affection,21,21,True,1
making,making,21,21,True,1
reassured,reassured,15,21,True,1
calm,calm,20,21,True,1
husband,husband,20,21,True,1
therapist,therapist,21,21,True,1
stroking,stroking,21,21,True,1
outside,outside,21,21,True,1
another,another,20,20,True,1
dinner,dinner,20,20,True,1
people,people,20,20,True,1
wake,wake,8,20,True,1
