word,synset,definition,synonyms
touching,touch.n.01,the event of something coming in contact with the body,touch
watching,observation.n.02,the act of observing; taking a patient look,"observation, observance"
trying,try.v.01,make an effort or attempt,"try, seek, attempt, essay, assay"
arm,arm.n.01,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,N/A
attention,attention.n.01,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others,attending
touch,touch.n.01,the event of something coming in contact with the body,touching
touch,contact.n.08,a communicative interaction,contact
touch,touch.v.01,"make physical contact with, come in contact with",N/A
friend,friend.n.01,a person you know well and regard with affection and trust,N/A
something,N/A,N/A,N/A
talking,talk.n.01,an exchange of ideas via conversation,talk
sitting,sitting.n.02,the act of assuming or maintaining a seated position,N/A
person,person.n.01,a human being,"individual, someone, somebody, mortal, soul"
get,get.v.01,come into the possession of something concrete or abstract,acquire
hand,hand.n.01,the (prehensile) extremity of the superior limb,"manus, mitt, paw"
wants,lack.n.01,the state of needing something that is absent or unavailable,"lack, deficiency, want"
wants,need.n.02,anything that is necessary but lacking,"need, want"
tv,television_receiver.n.01,an electronic device that receives television signals and displays them on a screen,"television_receiver, television, television_set, tv_set, idiot_box, boob_tube, telly, goggle_box"
rubbing,rub.v.01,move over something with pressure,rub
rubbing,rub.v.02,cause friction,"rub, fray, fret, chafe, scratch"
child,child.n.01,a young person of either sex,"kid, youngster, minor, shaver, nipper, small_fry, tiddler, tike, tyke, fry, nestling"
back,back.n.01,the posterior part of a human (or animal) body from the neck to the end of the spine,dorsum
shoulder,shoulder.n.01,the part of the body between the neck and the upper arm,N/A
someone,person.n.01,a human being,"person, individual, somebody, mortal, soul"
movie,movie.n.01,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,"film, picture, moving_picture, moving-picture_show, motion_picture, motion-picture_show, picture_show, pic, flick"
partner,spouse.n.01,a person's partner in marriage,"spouse, married_person, mate, better_half"
feel,tactile_property.n.01,a property perceived by touch,tactile_property
forearm,forearm.n.01,the part of the superior limb between the elbow and the wrist,N/A
gentle,pacify.v.01,cause to be more favorably inclined; gain the good will of,"pacify, lenify, conciliate, assuage, appease, mollify, placate, gruntle"
finger,finger.n.01,any of the terminal members of the hand (sometimes excepting the thumb),N/A
tapping,tapping.n.01,the sound of light blow or knock,N/A
tapping,tap.v.03,strike lightly,"tap, tip"
comfort,comfort.n.01,a state of being relaxed and feeling no pain,comfortableness
comforting,comfort.v.01,give moral or emotional strength to,"comfort, soothe, console, solace"
like,like.n.01,"a similar kind; ,","the_like, the_likes_of"
im,N/A,N/A,N/A
time,N/A,N/A,N/A
day,day.n.01,time for Earth to make a complete rotation on its axis,"twenty-four_hours, twenty-four_hour_period, 24-hour_interval, solar_day, mean_solar_day"
day,day.n.04,the time after sunrise and before sunset while it is light outside,"daytime, daylight"
way,manner.n.01,how something is done or how it happens,"manner, mode, style, fashion"
conversation,conversation.n.01,the use of speech for informal exchange of views or ideas or information etc.,N/A
doctor,doctor.n.01,a licensed medical practitioner,"doc, physician, MD, Dr., medico"
sad,sad.a.01,experiencing or showing sorrow or unhappiness; ; - Christina Rossetti,N/A
work,employment.n.02,the occupation for which you are paid,employment
couch,sofa.n.01,an upholstered seat for more than one person,"sofa, lounge"
ask,ask.v.01,inquire about,"inquire, enquire"
family,family.n.01,a social unit living together,"household, house, home, menage"
family,family.n.04,people descended from a common ancestor,"family_line, folk, kinfolk, kinsfolk, sept, phratry"
family,kin.n.01,a person having kinship with another or others,"kin, kinsperson"
relaxing,relax.v.01,"become less tense, rest, or take one's ease","relax, loosen_up, unbend, unwind, decompress, slow_down"
bed,bed.n.01,a piece of furniture that provides a place to sleep,N/A
telling,relation.n.04,an act of narration,"relation, recounting"
together,together.s.01,mentally and emotionally stable,N/A
news,news.n.01,information about recent and important events,"intelligence, tidings, word"
chilling,cooling.n.01,the process of becoming cooler; a falling temperature,"cooling, temperature_reduction"
chilling,chilling.s.01,provoking fear terror,"scarey, scary, shivery, shuddery"
playing,playing.n.02,the action of taking part in a game or sport or other recreation,N/A
bad,bad.a.01,having undesirable or negative qualities,N/A
colleague,colleague.n.01,an associate that one works with,"co-worker, fellow_worker, workfellow"
next,following.s.02,immediately following in time or order,following
waiting,wait.n.02,the act of waiting (remaining inactive in one place while expecting something),wait
feeling,feeling.n.01,the experiencing of affective and emotional states,N/A
need,need.n.01,a condition requiring relief,demand
