ResponseID|Touch No.|Social_self|Social_body|Social_place|Social_context|Intention&Purpose|Appropriateness|Sensory|Valence&Arousal_x|Valence&Arousal_y|Emotional_self|Emotional_touch|Continue|Input|Valence|Arousal|Type|Contact|Direction|Speed (cm/s)|Force|Touch_desc
R_z7lIkV8SAFnZRGp|5|a friend|my arm|in class|we're in class and we're bored|This person is bored and wants to do something about it so they grab my attention by touching me|Yes, that would be okay.|pointy, tapping, soft, delicate|1184.0|980.0|affection, sympathy|pleasant, delicate, soothing|YES, show me another video||1184.0|-980.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_3jVEwADHA4T7ndq|5|A friend|Shoulder|At a pub|My friend knocks on my shoulder.|My friend is trying to get my attention.|Yes, that would be okay.|Rhytmic patting|1075.0|706.0|Curiosity|Attention grabbing|NO, I would like to finish the survey now.||1075.0|-706.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_1Q6iRufY3s9Jp68|5|partner|hand or nose|at home|polite teasing|polite teasing|Yes, that would be okay.|light tapping|841.0|373.0|sympathy|friendly|NO, I would like to finish the survey now.||841.0|-373.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_3dSAAtKiKwXVAIQ|5|A friend|The touch my shoulder|Im in a public place|They need to get my attention to show me something and i cant hear them cause we are at a party|They are trying to get my attention|Yes, that would be okay.|Alerting|742.0|365.0|Curious|Asking, or inquiring in nature|NO, I would like to finish the survey now.||742.0|-365.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2D0mCzS4HVGk3pq|5|a family member|my hand|at home|someone is touching my hand many times|if you can feel the touch|Yes, that would be okay.|fast,soft|863.0|408.0|wonder|calming,attention|YES, show me another video||863.0|-408.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2EAgne4S1sIHN9l|5|A colleague|the arm|In the office|We are all focusing on our computers|I just asked him to tough and I will explain later to him why I asked him to touch|Yes, that would be okay.|Patting Consistent, Light|192.0|192.0|Massages|A bit annoying|NO, I would like to finish the survey now.||192.0|-192.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_24uY3uxA3H860Gp|5|my brother|my arm|around my house|I'm on the computer|he's trying to catch my attention|Yes, that would be okay.|buzzing and annoying|721.0|1158.0|annoyed|annoying|YES, show me another video||721.0|-1158.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_2EFa8ugXQCAYzA5|5|A partner.|My face.|At home.|We are watching a TV show.|Not sure, could be because I am laying on their lap while we watch TV.|Yes, that would be okay.|Soft|914.0|545.0|Like I belong.|Blissful.|NO, I would like to finish the survey now.||914.0|-545.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_40nQMjCBZB8KcWl|5|My wife|My stomach|Living room|She is constantly tapping my stomach with one finger. The feeling is annoying and monotonous|To annoy me|Yes, that would be okay.|Annoying, poking, persistent|394.0|954.0|Annoyed|Annoying and uncomfortable|NO, I would like to finish the survey now.||394.0|-954.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
R_3QMiW5ytCQfnrXs|5|friend or romantic partner|arm|at home or somewhere public mas discreet|some argument in which the other person is trying to prove his/her point or maybe accusing|to make sure that I'm listening and to make a statement|No, it would not be okay.|annoying|402.0|307.0|annoyed|annoying and aggressive|NO, I would like to finish the survey now.||402.0|-307.0|vertical finger|finger|vertical|18|light|finger vertical 18 light
